latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-11.87724,133.34438,338.7,2.24,1.45,2023-10-06,0035,T,87,6.1NRT,302.47,94.29,D
-11.88056,133.36436,327.67,2.23,1.45,2023-10-06,0035,T,74,6.1NRT,301.99,43.88,D
-11.87574,133.33868,339.65,2.24,1.45,2023-10-06,0035,T,87,6.1NRT,302.25,97.36,D
-11.87921,133.35863,329.62,2.23,1.45,2023-10-06,0035,T,78,6.1NRT,302.31,50.05,D
-12.02977,133.93916,324.26,2,1.38,2023-10-06,0035,T,64,6.1NRT,302.35,28.16,D
-12.43304,136.41649,325.61,1.31,1.14,2023-10-06,0035,T,69,6.1NRT,307.78,13.64,D
-12.43491,136.42833,327.68,1.31,1.14,2023-10-06,0035,T,73,6.1NRT,307.68,16.79,D
-12.04526,133.88072,324.37,2.02,1.39,2023-10-06,0035,T,68,6.1NRT,301.59,26.04,D
-13.36682,142.45847,321.08,1.22,1.1,2023-10-06,0035,T,30,6.1NRT,296.14,14.6,D
-13.43334,142.56847,335.21,1.24,1.11,2023-10-06,0035,T,82,6.1NRT,300.4,34.84,D
-13.43485,142.57979,327.79,1.25,1.11,2023-10-06,0035,T,47,6.1NRT,298.37,21.65,D
-12.42519,135.58376,333.34,1.49,1.21,2023-10-06,0035,T,80,6.1NRT,304.66,36.31,D
-12.43588,135.582,338.7,1.49,1.21,2023-10-06,0035,T,86,6.1NRT,305.56,49.37,D
-12.438,135.59544,340.69,1.49,1.2,2023-10-06,0035,T,88,6.1NRT,305.97,55.04,D
-12.44009,135.60864,323.21,1.48,1.2,2023-10-06,0035,T,42,6.1NRT,304.47,12.12,D
-12.44366,135.60213,325.87,1.48,1.2,2023-10-06,0035,T,54,6.1NRT,305.77,15.61,D
-12.45402,135.53127,348.15,1.5,1.21,2023-10-06,0035,T,93,6.1NRT,304.6,82.53,D
-12.45624,135.54485,354.77,1.5,1.21,2023-10-06,0035,T,97,6.1NRT,306.08,106.95,D
-12.45845,135.55844,326.52,1.49,1.21,2023-10-06,0035,T,49,6.1NRT,305.05,16.48,D
-12.46476,135.52957,391.44,1.5,1.21,2023-10-06,0035,T,100,6.1NRT,309.73,350.26,D
-12.46695,135.54308,404.65,1.5,1.21,2023-10-06,0035,T,100,6.1NRT,312.4,484.87,D
-12.46916,135.55666,344.19,1.49,1.21,2023-10-06,0035,T,90,6.1NRT,306.95,64.53,D
-12.3468,134.6669,327,1.74,1.29,2023-10-06,0035,T,69,6.1NRT,303.36,27.05,D
-12.34937,134.68257,322.64,1.74,1.29,2023-10-06,0035,T,38,6.1NRT,302.5,15.61,D
-12.18526,133.53658,327.45,2.14,1.42,2023-10-06,0035,T,74,6.1NRT,302.66,41.78,D
-12.18542,133.52959,323.86,2.14,1.42,2023-10-06,0035,T,67,6.1NRT,302.78,28.46,D
-12.65813,136.2874,326.4,1.33,1.14,2023-10-06,0035,T,70,6.1NRT,305.59,15.87,D
-12.24187,133.48021,327.54,2.15,1.43,2023-10-06,0035,T,74,6.1NRT,302.01,41.77,D
-12.24512,133.49953,337.23,2.15,1.42,2023-10-06,0035,T,85,6.1NRT,303.51,81.48,D
-12.25446,133.47783,321.64,2.15,1.43,2023-10-06,0035,T,55,6.1NRT,302.88,22.92,D
-12.25769,133.49715,331.28,2.15,1.42,2023-10-06,0035,T,79,6.1NRT,304.22,57.42,D
-12.74152,135.90164,327.32,1.4,1.17,2023-10-06,0035,T,63,6.1NRT,305.05,16.66,D
-12.7727,135.89644,340.9,1.4,1.17,2023-10-06,0035,T,88,6.1NRT,306.72,47.52,D
-12.77467,135.90907,326.11,1.4,1.17,2023-10-06,0035,T,41,6.1NRT,306.38,11.95,D
-12.77831,135.88895,336.49,1.4,1.17,2023-10-06,0035,T,84,6.1NRT,304.89,36.86,D
-12.78036,135.90158,336.88,1.4,1.17,2023-10-06,0035,T,84,6.1NRT,305.33,37.14,D
-12.82052,136.14934,322.67,1.35,1.15,2023-10-06,0035,T,31,6.1NRT,305.73,10,D
-12.8861,135.85219,326.93,1.4,1.17,2023-10-06,0035,T,69,6.1NRT,304.75,17.89,D
-12.65578,134.37617,322.07,1.81,1.32,2023-10-06,0035,T,30,6.1NRT,302.3,15.67,D
-12.8883,135.79935,329.86,1.42,1.18,2023-10-06,0035,T,76,6.1NRT,304.39,22.52,D
-12.89652,135.85051,322.15,1.4,1.17,2023-10-06,0035,T,31,6.1NRT,304,9.28,D
-12.66745,134.37421,326.16,1.81,1.32,2023-10-06,0035,T,36,6.1NRT,303.5,23.85,D
-12.89874,135.79761,344.42,1.42,1.18,2023-10-06,0035,T,90,6.1NRT,304.96,61.14,D
-12.90692,135.84877,329.1,1.4,1.17,2023-10-06,0035,T,75,6.1NRT,303.8,22.53,D
-12.67911,134.37216,323.12,1.81,1.32,2023-10-06,0035,T,13,6.1NRT,303.56,16.7,D
-12.90919,135.7959,323.38,1.42,1.18,2023-10-06,0035,T,56,6.1NRT,304.81,12.24,D
-12.80189,134.84244,325,1.66,1.27,2023-10-06,0035,T,68,6.1NRT,306.76,17.2,D
-13.01929,136.04147,335.42,1.36,1.15,2023-10-06,0035,T,83,6.1NRT,302.04,36.24,D
-13.02125,136.05377,362.91,1.36,1.15,2023-10-06,0035,T,100,6.1NRT,305.37,125.99,D
-13.02321,136.06606,334.56,1.35,1.15,2023-10-06,0035,T,82,6.1NRT,305.16,31.93,D
-12.34028,131.90443,319.92,2.84,1.61,2023-10-06,0035,T,52,6.1NRT,297.49,36.03,D
-12.34471,131.92986,324.84,2.83,1.61,2023-10-06,0035,T,69,6.1NRT,297.49,56.53,D
